Subject,background,medial femoral,lateral femoral,lateral tibial,medial tibial,trochlear,patellar,total
Subject_01,0,42.29601924,44.58029461,40.689991,38.47375679,38.501754,45.29760415,27.72322274
Subject_02,0,98.13356781,98.31959534,87.39816284,80.88388062,97.85308647,99.35239697,65.85464308
Subject_03,0,40.89024226,47.25889778,36.48257955,44.08007431,49.73141691,48.45189503,31.36210043
Subject_04,0,42.8909874,40.12497997,42.82608891,36.9297781,42.24224599,39.81065559,28.66444076
Subject_05,0,41.09856892,42.48711141,39.0376091,39.56425858,39.72000419,44.88421576,27.61154502
Subject_06,0,45.35451412,47.6083374,38.1699295,36.64486504,44.59642665,46.82122993,29.55019496
Subject_07,0,44.6208636,40.79111226,33.69531759,36.4754982,37.76403427,39.60367148,26.5443541
